Dışa Aktarım Tarihi:,09.06.2026 11:42:42
Toplam Kayıt Sayısı:,20086

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
DDP,DENİZ PORTFÖY SK SERBEST (DÖVİZ) ÖZEL FON,22.05.2026,"68,952266",1046042.00,1,"72126966,65"
DEF,ALLBATROSS PORTFÖY DEFNE SERBEST FON,22.05.2026,"2,527786",26807883.00,93,"67764601,04"
DEI,ALLBATROSS PORTFÖY DEMİR KISA VADELİ KATILIM SERBEST (TL) FON,22.05.2026,"0,035106",118787012.00,13,"4170133,33"
DFC,DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,22.05.2026,"3,067683",38074525.00,1674,"116800572,25"
DFD,DENİZ PORTFÖY EMTİA SERBEST FON,22.05.2026,"2,628015",59190691.00,544,"155553999,56"
DFI,ATLAS PORTFÖY SERBEST FON,22.05.2026,"3,952994",4667615041.00,39255,"18451053133,75"
DFO,AZİMUT PORTFÖY DLS SERBEST ÖZEL FON,22.05.2026,"3,601892",295765626.00,2,"1065315791,41"
DGF,A1 CAPİTAL PORTFÖY DEĞİŞKEN FON,22.05.2026,"1,242069",14740347.00,202,"18308528,72"
DGH,ATA PORTFÖY PARA PİYASASI SERBEST (TL) FON,22.05.2026,"9,753672",114259508.00,228,"1114449728,18"
DHI,PARDUS PORTFÖY DOKUZUNCU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"1,252142",68052321.00,46,"85211196,04"
DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),22.05.2026,"6,986701",33869835.00,3192,"236638421,01"
DHM,DENİZ PORTFÖY ESG-SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,22.05.2026,"5,016963",5768744.00,1274,"28941576,72"
DHP,DENİZ PORTFÖY PERİFER HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"3,280981",1887493.00,1,"6192827,96"
DHS,DENİZ PORTFÖY CC HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"304,621364",13205338.00,1,"4022628077,12"
DHT,DENİZ PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,22.05.2026,"1,04154",64242438.00,550,"66911037,42"
