Dışa Aktarım Tarihi:,31.08.2026 18:57:27
Toplam Kayıt Sayısı:,2038

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,31.08.2026,"3,523949",536054659.00,4455,"1889029187,54"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,31.08.2026,"12,965949",1352715.00,150,"17539233,13"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),31.08.2026,"63,920651",1947102.00,1975,"124460027,48"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,31.08.2026,"115,75602",131315825.00,200,"15200597279,67"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),31.08.2026,"0,766705",1337341991.00,3,"1025346600,58"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,31.08.2026,"0,106093",580303972.00,37,"61566418,46"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,31.08.2026,"3,260459",102492352.00,197,"334172070,92"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,31.08.2026,"2,7776",7427922197.00,44,"20631798143,54"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,31.08.2026,"64,009325",2090562.00,14,"133815462,35"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,31.08.2026,"4,049333",566799714.00,4076,"2295160515,86"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),31.08.2026,"3,749941",6106123.00,147,"22897599,50"
