Dışa Aktarım Tarihi:,24.08.2026 09:41:05
Toplam Kayıt Sayısı:,2037

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,24.08.2026,"3,498847",593320329.00,4486,"2075937154,93"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,24.08.2026,"12,630194",2360279.00,146,"29810782,72"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),24.08.2026,"63,647809",1912722.00,1992,"121740564,56"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,24.08.2026,"111,213706",131292015.00,199,"14601471504,66"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),24.08.2026,"0,765507",1337341991.00,3,"1023745257,14"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,24.08.2026,"0,105241",580303972.00,37,"61071638,65"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,24.08.2026,"3,237288",113073166.00,195,"366050385,00"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,24.08.2026,"2,706801",5556052206.00,44,"15039127426,63"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,24.08.2026,"63,930041",2090562.00,14,"133649715,01"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,24.08.2026,"4,019356",520360030.00,4044,"2091512406,57"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),24.08.2026,"3,735251",6080118.00,149,"22710767,35"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,24.08.2026,"57,596516",1302581.00,83,"75024127,08"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),24.08.2026,"5,003602",645100145.00,44,"3227824522,65"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),24.08.2026,"204,465276",15183901.00,96,"3104580509,38"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),24.08.2026,"45,684517",3833475.00,1321,"175130452,60"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,24.08.2026,"6,065029",57186100.97,1482,"346835351,47"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,24.08.2026,"12,608805",51336945.00,16,"647297507,68"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,24.08.2026,"56,979042",25281210.00,159,"1440499122,49"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,24.08.2026,"0,896292",794954081.00,25730,"712510697,46"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),24.08.2026,"1,223927",3043354052.00,21198,"3724842001,20"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,24.08.2026,"117,550323",559562.09,1384,"65776704,61"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,24.08.2026,"0,00",0.00,35219,"0,00"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),24.08.2026,"2,161752",4094717.00,419,"8851761,45"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,24.08.2026,"1,277672",4299073642.00,46425,"5492806059,27"
AFO,AK PORTFÖY ALTIN FONU,24.08.2026,"1,38275",14650949142.00,81513,"20258600843,88"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,24.08.2026,"0,355037",2539547069.00,28467,"901632570,10"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,24.08.2026,"0,982435",19753962366.00,138338,"19406987545,55"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,24.08.2026,"0,615774",2085012209.00,14942,"1283896308,59"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,24.08.2026,"9,398065",11008855.00,2470,"103461935,63"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,24.08.2026,"10,893283",21370610.00,15,"232796105,13"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),24.08.2026,"37,150761",3258643.00,2658,"121061066,84"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,24.08.2026,"70,025634",452578.00,107,"31692061,52"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,24.08.2026,"11,434925",11614859.00,596,"132815037,45"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,24.08.2026,"21,658203",6013512.00,186,"130241860,66"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,24.08.2026,"31,291585",1749021.00,13,"54729639,73"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,24.08.2026,"1,25218",48917729.00,17,"61253784,40"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),24.08.2026,"18,84572",9510664.00,4,"179235307,42"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,24.08.2026,"96,451094",3942000.00,3,"380210212,49"
AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),24.08.2026,"27,164639",2162287.00,1,"58737745,62"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,24.08.2026,"165,921272",8864287.00,3,"1470773773,21"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,24.08.2026,"0,107765",137214625074.00,21691,"14786888487,36"
