Dışa Aktarım Tarihi:,07.08.2026 18:28:39
Toplam Kayıt Sayısı:,2032

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,07.08.2026,"3,435583",616094319.00,4534,"2116642918,96"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,07.08.2026,"12,551133",1367861.00,144,"17168205,97"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),07.08.2026,"61,14622",2062911.00,2029,"126139209,92"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,07.08.2026,"105,929609",131117909.00,193,"13889268832,19"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),07.08.2026,"0,747273",1337341991.00,3,"999358893,30"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,07.08.2026,"0,103419",580303972.00,37,"60014668,99"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,07.08.2026,"3,180832",103857807.00,193,"330354219,19"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,07.08.2026,"2,472688",2478713505.00,44,"6129085788,56"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,07.08.2026,"62,779028",2090562.00,14,"131243449,52"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,07.08.2026,"3,942642",525755114.00,3965,"2072864229,20"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),07.08.2026,"3,685315",5989096.00,151,"22071703,66"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,07.08.2026,"56,836381",1301928.00,87,"73996876,07"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),07.08.2026,"5,690957",671449375.00,44,"3821189788,98"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),07.08.2026,"195,432459",15201899.00,96,"2970944504,12"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),07.08.2026,"43,753763",4069569.00,1352,"178058958,64"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,07.08.2026,"5,879071",57159222.97,1501,"336043149,09"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,07.08.2026,"12,458066",51336945.00,16,"639559067,83"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,07.08.2026,"56,405418",25420973.00,156,"1433880616,35"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,07.08.2026,"0,875531",813429713.00,25668,"712183077,17"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),07.08.2026,"1,204402",3050880074.00,21502,"3674485393,25"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,07.08.2026,"111,513174",555823.28,1382,"61981618,19"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,07.08.2026,"0,161898",7622421014.00,35039,"1234056242,06"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),07.08.2026,"2,073057",4461154.00,438,"9248226,69"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,07.08.2026,"1,27647",4261365985.00,45410,"5439503737,08"
AFO,AK PORTFÖY ALTIN FONU,07.08.2026,"1,27605",14773849285.00,81318,"18852170141,99"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,07.08.2026,"0,338085",2497680272.00,27750,"844427222,72"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,07.08.2026,"0,961998",19922982080.00,137661,"19165868346,00"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,07.08.2026,"0,609677",2209587616.00,14787,"1347134579,33"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,07.08.2026,"9,28712",13022197.00,2479,"120938709,47"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,07.08.2026,"10,716077",21370610.00,15,"229009105,66"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),07.08.2026,"36,013163",3202327.00,2614,"115325922,95"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,07.08.2026,"68,161224",440799.00,96,"30045399,57"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,07.08.2026,"11,202093",14303024.00,581,"160223808,40"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,07.08.2026,"21,244674",6027077.00,178,"128043283,61"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,07.08.2026,"30,845772",1749021.00,13,"53949903,23"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,07.08.2026,"1,230551",48917698.00,17,"60195705,43"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),07.08.2026,"16,911045",9643754.00,4,"163085956,73"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,07.08.2026,"95,319469",3942000.00,3,"375749348,24"
