Dışa Aktarım Tarihi:,30.06.2026 15:37:33
Toplam Kayıt Sayısı:,2025

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,30.06.2026,"3,351785",767609082.00,4581,"2572860512,03"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,30.06.2026,"11,851728",1720151.00,166,"20386761,16"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.06.2026,"60,812185",3939279.00,2130,"239556165,02"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,30.06.2026,"91,857959",134426316.00,189,"12348126979,90"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.06.2026,"0,819491",1337341991.00,3,"1095939600,24"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,30.06.2026,"0,099654",580059894.00,36,"57805177,70"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,30.06.2026,"3,057633",98525757.00,169,"301255574,29"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,30.06.2026,"3,536983",2478714059.00,44,"8767168330,53"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.06.2026,"64,768501",2090562.00,14,"135402566,50"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,30.06.2026,"3,774883",431220038.00,3654,"1627805109,98"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.06.2026,"3,564652",6003928.00,157,"21401914,38"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,30.06.2026,"55,742635",1302780.00,94,"72620389,40"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.06.2026,"4,47282",735626786.00,44,"3290325952,31"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.06.2026,"173,205871",14058371.00,96,"2434992400,70"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),30.06.2026,"46,053989",4110185.00,1429,"189290413,84"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,30.06.2026,"5,946611",57504593.97,1523,"341957458,85"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,30.06.2026,"12,185531",51336945.00,16,"625567934,80"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,30.06.2026,"55,02252",25414972.00,153,"1398395793,02"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,30.06.2026,"0,843105",957554335.00,26020,"807318880,85"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.06.2026,"1,382988",3491407212.00,21653,"4828573359,16"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.06.2026,"105,9367",588573.28,1439,"62351510,99"
