Dışa Aktarım Tarihi:,15.05.2026 10:48:34
Toplam Kayıt Sayısı:,2001

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,15.05.2026,"3,234174",938308162.00,4842,"3034651693,82"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,15.05.2026,"11,98476",1765618.00,175,"21160508,32"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),15.05.2026,"64,37529",4678369.00,2255,"301171359,59"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,15.05.2026,"65,541941",123635844.00,166,"8103333222,00"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),15.05.2026,"0,81221",1337341991.00,3,"1086202038,84"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,15.05.2026,"0,095421",580059894.00,36,"55350063,47"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,15.05.2026,"2,91348",91429206.00,165,"266377142,60"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,15.05.2026,"3,285766",2478716109.00,45,"8144480546,14"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,15.05.2026,"64,675654",2090562.00,14,"135208464,24"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,15.05.2026,"3,583789",430028650.00,3601,"1541131854,77"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),15.05.2026,"3,479189",9698823.00,172,"33744034,20"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,15.05.2026,"55,141626",1326411.00,105,"73140459,23"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),15.05.2026,"12,384795",540384978.00,45,"6692557071,46"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),15.05.2026,"200,044559",14776443.00,97,"2955947025,39"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),15.05.2026,"45,856853",4237077.00,1423,"194299015,18"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,15.05.2026,"5,627359",57377710.97,1535,"322884952,33"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,15.05.2026,"11,844959",54279290.00,16,"642935978,23"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,15.05.2026,"53,291441",25371625.00,149,"1352090452,82"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,15.05.2026,"0,883508",1102677674.00,26665,"974224133,51"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),15.05.2026,"1,323",3103147339.00,22147,"4105462555,06"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,15.05.2026,"111,759726",674015.81,1523,"75327822,02"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,15.05.2026,"0,178801",9242136552.00,35473,"1652501974,48"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),15.05.2026,"2,053188",5371032.00,421,"11027741,11"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,15.05.2026,"1,171566",4832168920.00,46179,"5661204097,69"
AFO,AK PORTFÖY ALTIN FONU,15.05.2026,"1,353487",16875021788.00,85992,"22840126221,85"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,15.05.2026,"0,302954",2477696715.00,26876,"750628212,04"
