Dışa Aktarım Tarihi:,03.05.2026 16:38:21
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
DVO,DENİZ PORTFÖY BİRİNCİ SERBEST (TL) ÖZEL FON,30.04.2026,"4,752777",6407587.00,1,"30453832,50"
DVS,DENİZ PORTFÖY KISA VADELİ SERBEST (TL) FON,30.04.2026,"1,394451",193454722.00,322,"269763073,36"
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"8,245016",89308292.00,10847,"736348322,46"
DVU,AZİMUT PORTFÖY 17.0 SERBEST ÖZEL FON,30.04.2026,"7,644985",180024605.00,5,"1376285456,96"
DVZ,DENİZ PORTFÖY EFES SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"61,709242",21011556.00,1,"1296607195,05"
DXP,DENİZ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,788257",29587942.00,1181,"52910844,51"
DYJ,DENİZ PORTFÖY KAR PAYI ÖDEYEN ÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"45,201731",23567495.00,156,"1065291574,52"
DYN,DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"4,331974",13460565.00,1686,"58310819,68"
DYS,DENİZ PORTFÖY SAM YELİ SERBEST FON,30.04.2026,"1,495389",11610791.00,13,"17362643,85"
DZ2,DENİZ PORTFÖY İKİNCİ SERBEST ÖZEL FON,30.04.2026,"1,38375",8645880586.00,2,"11963740019,07"
DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,996492",255671700.00,3024,"254774787,95"
DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"80,655775",245777824.00,4828,"19823400907,26"
DZP,AZİMUT PORTFÖY DENİZ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"56,472648",7788000.00,2,"439808983,56"
