Dışa Aktarım Tarihi:,19.06.2026 11:49:06
Toplam Kayıt Sayısı:,2020

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,19.06.2026,"0,10045",124864893959.00,15190,"12542679851,98"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,261898",18178344.00,86,"22939210,13"
AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,19.06.2026,"60,770037",80975868.00,1015,"4920906490,42"
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,19.06.2026,"62,046627",2191944.00,125,"136002732,16"
AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,19.06.2026,"61,775249",80921479.00,1409,"4998944542,89"
AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,19.06.2026,"59,675457",7389510.00,300,"440972386,49"
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,19.06.2026,"0,525845",365662697.00,9224,"192281943,29"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"53,802293",162226518.00,21595,"8728158591,72"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,19.06.2026,"0,50827",2057932854.00,13643,"1045986264,77"
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"0,976517",2306124561.00,17194,"2251970638,44"
AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,19.06.2026,"3,736444",318546011.00,12,"1190229182,37"
AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,19.06.2026,"51,96727",268511544.00,2410,"13953811831,94"
AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,19.06.2026,"3,655903",1426593054.00,12,"5215486218,80"
AL7,ALBARAKA PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,19.06.2026,"3,529271",1986534407.00,107,"7011018920,65"
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"0,367623",5531832379.00,26213,"2033629872,73"
ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,19.06.2026,"12,640534",6089313898.00,144778,"76972180511,99"
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,19.06.2026,"108,744746",11642046.25,2457,"1266011359,94"
ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI (TL)FONU,19.06.2026,"35,060569",15243744.00,3970,"534454342,05"
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,19.06.2026,"20,982785",12399516.00,173,"260176375,99"
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,657921",12659268.00,221,"20988063,06"
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,19.06.2026,"0,390762",3539088464.00,39486,"1382939704,35"
AP2,ATLAS PORTFÖY BEŞİNCİ SERBEST (TL) FON,19.06.2026,"2,624634",287026278.00,35,"753338921,13"
AP4,ATLAS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,108977",249218342.00,11,"276377453,46"
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,010813",1012592.00,12,"1023540,77"
AP6,PARDUS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"8,718476",101329403.00,46,"883437986,09"
AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,19.06.2026,"2,485516",96363541.00,508,"239513147,90"
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,19.06.2026,"6,985025",13617232.00,3061,"95116701,01"
APP,AK PORTFÖY P1 SERBEST ÖZEL FON,19.06.2026,"31,984265",6415502.00,2,"205195117,47"
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,19.06.2026,"0,153839",1847906634.00,13205,"284279539,35"
ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,19.06.2026,"0,231506",140561187.00,1672,"32540745,53"
ARF,AK PORTFÖY ÖPY İKİNCİ SERBEST (TL) ÖZEL FON,19.06.2026,"8,293601",90349894.00,1,"749325930,36"
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,19.06.2026,"15,483395",272847133.00,7722,"4224599841,58"
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,19.06.2026,"18,179359",182325055.00,5424,"3314552609,72"
ARP,AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,19.06.2026,"42,393445",75563996.00,1,"3203418109,27"
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,19.06.2026,"44,960361",141759.00,37,"6373535,86"
AS3,ALLBATROSS PORTFÖY ATLAS SERBEST FON,19.06.2026,"0,789412",225848060.00,16,"178287093,86"
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"3,980399",17691821.00,809,"70420506,96"
ATJ,AZİMUT PORTFÖY İKİNCİ DEĞİŞKEN FON,19.06.2026,"23,410556",45440594.00,10,"1063789560,70"
AU1,A1 CAPİTAL PORTFÖY ALTIN FONU,19.06.2026,"1,118699",47015568.00,633,"52596265,13"
AUV,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,19.06.2026,"48,602286",16442617.00,600,"799148778,48"
AVC,ATA PORTFÖY İKİNCİ SERBEST (TL) FON,19.06.2026,"147,046862",1927510.00,12,"283434297,42"
AVT,AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,19.06.2026,"212,193685",17698434.00,19546,"3755495937,26"
AVZ,AK PORTFÖY EMS SERBEST ( DÖVİZ ) ÖZEL FON,19.06.2026,"99,415361",2302470.00,1,"228900885,30"
AY6,AZİMUT PORTFÖY 26.0 SERBEST FON,19.06.2026,"1,369146",78262194.00,11,"107152330,78"
AY7,AZİMUT PORTFÖY 27.0 SERBEST FON,19.06.2026,"1,579642",164328532.00,12,"259580317,79"
AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"19,243801",62801665.00,10415,"1208542753,18"
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,19.06.2026,"0,131072",12345722804.00,13100,"1618177883,57"
AZF,AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) ÖZEL FONU,19.06.2026,"0,17333",3325162435.00,4,"576351281,79"
AZJ,AZİMUT PYŞ STRATEJİ-1 SERBEST FON,19.06.2026,"19,284794",53102007.00,44,"1024061243,14"
AZV,AZİMUT PORTFÖY BKS SERBEST (DÖVİZ) ÖZEL FON,19.06.2026,"25,942437",167742494.00,5,"4351649056,74"
AZZ,AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST (DÖVİZ) ÖZEL FON,19.06.2026,"61,117144",456561662.00,6,"27903744850,69"
BA1,GLOBAL MD PORTFÖY BİRİNCİ SERBEST FON,19.06.2026,"1,609517",200842217.00,25,"323259055,92"
BAC,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"5,562078",754698421.00,11,"4197691729,32"
BAG,BULLS PORTFÖY ATAK DEĞIŞKEN FON,19.06.2026,"0,990866",82956646.00,170,"82198955,50"
BAL,QNB PORTFÖY BALY SERBEST (DÖVİZ) ÖZEL FON,19.06.2026,"47,918399",21974290.00,1,"1052972793,69"
BAO,AZİMUT PORTFÖY BARKIN SERBEST (TL) ÖZEL FON,19.06.2026,"3,348258",37508385.00,4,"125587743,03"
BAS,İŞ PORTFÖY BAŞAK SERBEST (DÖVİZ) ÖZEL FON,19.06.2026,"51,672064",28610784.00,1,"1478378258,17"
BBF,PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,19.06.2026,"3,360956",44032184.00,956,"147990241,01"
BBI,ALLBATROSS PORTFÖY BİANCO SERBEST (TL) FON,19.06.2026,"1,284403",679926.00,11,"873299,28"
BBN,BULLS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"0,672484",2300561650.00,13,"1547091488,81"
BBO,BULLS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,836484",331368445.00,11,"608552771,52"
