Dışa Aktarım Tarihi:,09.06.2026 11:44:58
Toplam Kayıt Sayısı:,2013

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,09.06.2026,"3,277345",743337272.00,4706,"2436172887,66"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,09.06.2026,"11,932991",1803594.00,184,"21522270,48"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),09.06.2026,"60,626072",4629715.00,2206,"280681435,59"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,09.06.2026,"76,021889",128046106.00,174,"9734306893,76"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),09.06.2026,"0,856119",1337341991.00,3,"1144923925,88"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,09.06.2026,"0,097574",580059894.00,36,"56599023,30"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,09.06.2026,"2,990272",101980216.00,170,"304948584,12"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,09.06.2026,"2,775975",2478714059.00,44,"6880848830,89"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,09.06.2026,"63,742498",2090562.00,14,"133257644,72"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,09.06.2026,"3,685301",421692580.00,3640,"1554064045,70"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),09.06.2026,"3,522294",6036766.00,157,"21263264,75"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,09.06.2026,"54,919875",1302446.00,96,"71530171,80"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),09.06.2026,"7,426235",549043242.00,45,"4077324175,11"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),09.06.2026,"167,294725",15888725.00,97,"2658099876,78"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),09.06.2026,"44,585041",4187002.00,1420,"186677657,64"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,09.06.2026,"5,509735",56905755.97,1510,"313535630,85"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,09.06.2026,"12,028194",51336945.00,16,"617490738,31"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,09.06.2026,"54,236706",25334664.00,151,"1374068721,92"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,09.06.2026,"0,854642",1049919923.00,26378,"897305255,14"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),09.06.2026,"1,264851",3138110697.00,21865,"3969242564,43"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,09.06.2026,"106,82923",646062.81,1482,"69018392,21"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,09.06.2026,"0,176702",8677463859.00,35209,"1533326447,03"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),09.06.2026,"2,008631",5558423.00,421,"11164819,54"
