Dışa Aktarım Tarihi:,11.05.2026 12:37:22
Toplam Kayıt Sayısı:,2003

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,11.05.2026,"3,22089",938805592.00,4851,"3023789348,09"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,11.05.2026,"11,819761",1724452.00,169,"20382611,32"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),11.05.2026,"65,144449",4786466.00,2265,"311811689,35"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,11.05.2026,"62,02321",123036821.00,161,"7631138619,80"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),11.05.2026,"0,879645",1337341991.00,3,"1176386480,27"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,11.05.2026,"0,095097",580108894.00,37,"55166713,59"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,11.05.2026,"2,90144",104333151.00,162,"302716396,76"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,11.05.2026,"3,650645",2478717109.00,46,"9048916234,81"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,11.05.2026,"66,543985",2090562.00,14,"139114325,41"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,11.05.2026,"3,567941",436260819.00,3575,"1556552782,22"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),11.05.2026,"3,453981",14012481.00,176,"48398843,31"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,11.05.2026,"56,053057",1326306.00,108,"74343506,21"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),11.05.2026,"11,337381",540384978.00,45,"6126550449,53"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),11.05.2026,"202,308758",12669897.00,97,"2563231121,43"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),11.05.2026,"45,940262",4286491.00,1431,"196922520,95"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,11.05.2026,"5,697283",57416749.97,1539,"327119485,89"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,11.05.2026,"11,813208",54279265.00,14,"641212262,90"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,11.05.2026,"53,079066",25527881.00,150,"1354996069,37"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,11.05.2026,"0,878522",1127163487.00,26789,"990238269,22"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),11.05.2026,"1,354336",3122377424.00,22265,"4228748988,66"
