Dışa Aktarım Tarihi:,14.08.2026 17:47:01
Toplam Kayıt Sayısı:,2032

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,14.08.2026,"3,461718",609844589.00,4468,"2111110055,37"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,14.08.2026,"12,767215",1338264.00,145,"17085904,07"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),14.08.2026,"61,481448",1970499.00,2017,"121149131,24"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,14.08.2026,"108,019907",131259679.00,197,"14178658352,01"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),14.08.2026,"0,739224",1337341991.00,3,"988595602,40"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,14.08.2026,"0,104107",580303972.00,37,"60413728,22"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,14.08.2026,"3,203707",70776232.00,193,"226746332,54"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,14.08.2026,"2,62504",2478712996.00,44,"6506721224,29"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,14.08.2026,"63,265611",2090562.00,14,"132260683,18"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,14.08.2026,"3,974183",587371202.00,4037,"2334320800,87"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),14.08.2026,"3,708205",6040690.00,148,"22400117,12"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,14.08.2026,"57,136034",1301409.00,86,"74357348,52"
