Dışa Aktarım Tarihi:,03.05.2026 16:27:32
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat
CRL,YAPI KREDİ PORTFÖY ACARLAR SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"45,478744"
CSD,İŞ PORTFÖY CANO SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"59,993537"
CSH,PARDUS PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,775817"
CTF,İŞ PORTFÖY ASSG SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"8,67924"
CTG,İŞ PORTFÖY FEFON SERBEST ÖZEL FON,30.04.2026,"7,101849"
CTM,İŞ PORTFÖY KEFON SERBEST ÖZEL FON,30.04.2026,"5,958587"
CTP,İŞ PORTFÖY AAF SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"58,034503"
CTV,İŞ PORTFÖY MHA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"10,12938"
CVA,AK PORTFÖY ÜÇÜNCÜ KAMU BORÇLANMA ARAÇLARI (TL) ÖZEL FONU,30.04.2026,"3,701445"
CVB,AK PORTFÖY İKİNCİ SERBEST (TL) ÖZEL FON,30.04.2026,"3,823492"
CVC,AK PORTFÖY ÖPY KAR PAYI ÖDEYEN SERBEST ÖZEL FON,30.04.2026,"2,597387"
CVD,AK PORTFÖY GİFON SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"59,409402"
CVE,AK PORTFÖY BİRİNCİ KAMU BORÇLANMA ARAÇLARI (TL) ÖZEL FONU,30.04.2026,"2,454629"
CVF,AK PORTFÖY SÜRDÜRÜLEBİLİRLİK SERBEST (TL) ÖZEL FON,30.04.2026,"4,205598"
CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,30.04.2026,"4,65346"
CVL,A1 CAPİTAL PORTFÖY ÇOKLU VARLIK KATILIM FONU,30.04.2026,"1,223735"
CYD,AK PORTFÖY 2027 SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"54,431884"
DA1,A1 CAPİTAL PORTFÖY SERBEST (DÖVİZ) FON,30.04.2026,"46,183603"
DAC,DENİZ PORTFÖY BORİS SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"67,676415"
DAE,DENİZ PORTFÖY ARBAU HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,466896"
DAH,DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,661119"
DAI,DENİZ PORTFÖY ARTI SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"89,330246"
DAL,DENİZ PORTFÖY SU SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"65,943612"
DAS,DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"51,24037"
DAT,DENİZ PORTFÖY ARMUT SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"90,698719"
DAV,DENİZ PORTFÖY 2026 SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"54,577183"
DAZ,DENİZ PORTFÖY TÜRKİZ SERBEST(DÖVİZ) ÖZEL FON,30.04.2026,"12,296437"
DB2,AKTİF PORTFÖY İKİNCİ KISA VADELİ SERBEST (TL) FON,30.04.2026,"1,85728"
DBA,DENİZ PORTFÖY ALTIN FONU,30.04.2026,"0,731552"
DBB,DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU,30.04.2026,"0,10197"
DBG,DENİZ PORTFÖY BEYAZ SERBEST ÖZEL FONU,30.04.2026,"0,578702"
DBH,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,30.04.2026,"0,352719"
DBK,DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,107745"
DBP,DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"0,462685"
DBZ,DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,30.04.2026,"0,124993"
DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,30.04.2026,"4,218929"
DCD,DENİZ PORTFÖY SKA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"62,007867"
DCE,DENİZ PORTFÖY BAKHAM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"67,930329"
DCN,DENİZ PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,30.04.2026,"1,277971"
DCP,YAPI KREDİ PORTFÖY CÖMERT SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"69,601945"
DDA,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"13,072642"
DDC,DENİZ PORTFÖY GÜN DOĞUSU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"11,034432"
DDE,DENİZ PORTFÖY BADE SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"70,798101"
DDF,DENİZ PORTFÖY DİNAMO HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"10,901446"
DDP,DENİZ PORTFÖY SK SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"68,583238"
DEF,ALLBATROSS PORTFÖY DEFNE SERBEST FON,30.04.2026,"2,545345"
DEI,ALLBATROSS PORTFÖY DEMİR KISA VADELİ KATILIM SERBEST (TL) FON,30.04.2026,"0,034852"
DFC,DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,30.04.2026,"3,088776"
DFD,DENİZ PORTFÖY EMTİA SERBEST FON,30.04.2026,"2,609687"
DFI,ATLAS PORTFÖY SERBEST FON,30.04.2026,"3,792143"
DFO,AZİMUT PORTFÖY DLS SERBEST ÖZEL FON,30.04.2026,"3,459156"
DGF,A1 CAPİTAL PORTFÖY DEĞİŞKEN FON,30.04.2026,"1,280825"
DGH,ATA PORTFÖY PARA PİYASASI SERBEST (TL) FON,30.04.2026,"9,516197"
DHI,PARDUS PORTFÖY DOKUZUNCU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"4,48404"
DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"7,187508"
DHM,DENİZ PORTFÖY ESG-SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,30.04.2026,"5,100723"
DHP,DENİZ PORTFÖY PERİFER HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,781494"
DHS,DENİZ PORTFÖY CC HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"361,722856"
DHT,DENİZ PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"1,035355"
DHV,DENİZ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,1787"
DID,DENİZ PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"1,347971"
DIH,DENİZ PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,927283"
DIM,DENİZ PORTFÖY İMRAL SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"48,799251"
DIP,DENİZ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,30.04.2026,"1,394247"
DK1,KUVEYT TÜRK PORTFÖY DÜNYA KATILIM BANKASI KISA VADELİ KATILIM SERBEST FON,30.04.2026,"1,324221"
DK8,DENİZ PORTFÖY KAR PAYI ÖDEYEN SEKİZİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"45,143673"
DKA,DENİZ PORTFÖY KAR PAYI ÖDEYEN DOKUZUNCU SERBEST (DÖVİZ) FON,30.04.2026,"45,034121"
DKC,DENİZ PORTFÖY İKİNCİ SERBEST FON,30.04.2026,"0,653787"
DKH,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,579999"
DKL,DENİZ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"47,202318"
DKP,QNB PORTFÖY KAR PAYI ÖDEYEN DOKUZUNCU SERBEST (DÖVİZ) FON,30.04.2026,"45,134819"
DKR,DENİZ PORTFÖY ONDÖRDÜNCÜ SERBEST FON,30.04.2026,"0,70979"
DKS,DENİZ PORTFÖY KUZEYYILDIZI SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"67,266491"
DKY,DENİZ PORTFÖY KAR PAYI ÖDEYEN ONÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"45,00477"
DL2,DENİZ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,30.04.2026,"2,198624"
DLD,DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"7,178736"
DLG,DENİZ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,30.04.2026,"1,164208"
DLN,AURA PORTFÖY DOLUNAY SERBEST FON,30.04.2026,"1,909296"
DLY,DENİZ PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"5,39363"
DLZ,DENİZ PORTFÖY ALİZE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,237663"
DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,30.04.2026,"7,149847"
DMR,ZİRAAT PORTFÖY DEMİRAY SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"54,086026"
DMV,DENİZ PORTFÖY SMART SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"65,368807"
DMZ,DENİZ PORTFÖY ZEYTİN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"59,674243"
DNA,DENİZ PORTFÖY ANATOLİA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"9,410081"
DNF,A1 CAPİTAL PORTFÖY DİNAMİK FON SEPETİ FONU,30.04.2026,"1,180377"
DNH,DENİZ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,161615"
DNK,TACİRLER PORTFÖY DENGE KATILIM SERBEST FON,30.04.2026,"1,651356"
DNL,DENİZ PORTFÖY NEKO SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"51,869221"
DNM,QNB PORTFÖY DİNAMİK DAĞILIMLI SERBEST (DÖVİZ) FON,30.04.2026,"48,46195"
DNP,DENİZ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,30.04.2026,"1,272775"
DNU,DENİZ PORTFÖY KAR PAYI ÖDEYEN ONBEŞİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"44,930699"
DOC,DENİZ PORTFÖY KAR PAYI ÖDEYEN ONİKİNCİ SERBEST (DÖVIZ) FON,30.04.2026,"44,889268"
DOD,AZİMUT PORTFÖY 14.0 SERBEST (DÖVİZ) FON,30.04.2026,"64,024236"
DOH,TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,014114"
DOL,AKTİF PORTFÖY ÜÇÜNCÜ AKTİF SERBEST (DÖVİZ) FON,30.04.2026,"49,034326"
DOR,AZİMUT PORTFÖY OKSİJEN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"66,195111"
DOS,DENİZ PORTFÖY OLMİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"65,258723"
DOV,DENİZ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"57,005378"
DP1,DENİZ PORTFÖY DELTA SERBEST ÖZEL FON,30.04.2026,"17,583357"
DP2,DENİZ PORTFÖY ÖZER SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"62,549052"
DP3,DENİZ PORTFÖY DUMAN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"64,884341"
DP4,DENİZ PORTFÖY GİZEM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"68,056035"
DP5,DENİZ PORTFÖY MER SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"75,203921"
DP6,DENİZ PORTFÖY KAR PAYI ÖDEYEN BEŞİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"44,920681"
DP7,DENİZ PORTFÖY DEMİR SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"56,756834"
DP8,DENİZ PORTFÖY KAR PAYI ÖDEYEN ALTINCI SERBEST (DÖVİZ) FON,30.04.2026,"45,388775"
DP9,DENİZ PORTFÖY KAR PAYI ÖDEYEN YEDİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"44,984611"
DPB,DENİZ PORTFÖY SERBEST (DÖVİZ) FON,30.04.2026,"22,73177"
DPC,DENİZ PORTFÖY FRS SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"92,295062"
DPE,DENİZ PORTFÖY EGE SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"21,025749"
DPG,DENİZ PORTFÖY REYHAN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"93,343661"
DPI,DENİZ PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"7,969182"
DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,30.04.2026,"7,727814"
DPL,DENİZ PORTFÖY NİL SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"95,73999"
DPN,DENİZ PORTFÖY NEVA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"56,419244"
DPP,DENİZ PORTFÖY HLC SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"154,005237"
DPT,DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),30.04.2026,"17,116291"
DPZ,DENİZ PORTFÖY YAZ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"76,644156"
DRA,NEO PORTFÖY DORA SERBEST FON,30.04.2026,"1,157935"
DRD,DENİZ PORTFÖY KAR PAYI ÖDEYEN ONBİRİNCİ SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"52,965267"
DRH,PARDUS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,069079"
DRS,DENİZ PORTFÖY GÜL SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"69,576041"
DRT,DENİZ PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"1,099046"
DSC,DENİZ PORTFÖY RÜ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"62,153554"
DSD,DENİZ PORTFÖY İKİNCİ SERBEST (DÖVİZ_AVRO) FON,30.04.2026,"66,906605"
DSH,AK PORTFÖY DÖRDÜNCÜ SERBEST FON,30.04.2026,"2,005987"
DSP,DENİZ PORTFÖY DENGELİ FON SEPETİ FONU,30.04.2026,"13,524522"
DSV,DENİZ PORTFÖY 2028 SERBEST (DÖVİZ) FON,30.04.2026,"45,800045"
DTH,EMAA BLUE PORTFÖY DÖNÜŞÜM TEKNOLOJİLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,263829"
DTL,DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,865322"
DTM,DENİZ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER DEĞİŞKEN FON,30.04.2026,"1,352888"
DTO,DENİZ PORTFÖY KAR PAYI ÖDEYEN ONDÖRDÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"45,055916"
DTP,AZİMUT PORTFÖY ADATEPE SERBEST ÖZEL FON,30.04.2026,"1,843817"
DTV,DENİZ PORTFÖY CEY SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"63,624431"
DTZ,AK PORTFÖY ROBOTİK TEKNOLOJİLER DEĞİŞKEN FON,30.04.2026,"4,579447"
DUC,DENİZ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,621549"
DUD,DENİZ PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,30.04.2026,"47,833885"
DUH,HEDEF PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,050082"
DUT,DENİZ PORTFÖY KAR PAYI ÖDEYEN DÖRDÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"45,129402"
DUV,DENİZ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,30.04.2026,"1,195311"
DVC,DENİZ PORTFÖY LİYA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"63,766607"
DVI,DENİZ PORTFÖY OLBA SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"72,32142"
DVN,DENİZ PORTFÖY G2B SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"60,41518"
DVO,DENİZ PORTFÖY BİRİNCİ SERBEST (TL) ÖZEL FON,30.04.2026,"4,752777"
DVS,DENİZ PORTFÖY KISA VADELİ SERBEST (TL) FON,30.04.2026,"1,394451"
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"8,245016"
DVU,AZİMUT PORTFÖY 17.0 SERBEST ÖZEL FON,30.04.2026,"7,644985"
DVZ,DENİZ PORTFÖY EFES SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"61,709242"
DXP,DENİZ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,788257"
DYJ,DENİZ PORTFÖY KAR PAYI ÖDEYEN ÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"45,201731"
DYN,DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"4,331974"
DYS,DENİZ PORTFÖY SAM YELİ SERBEST FON,30.04.2026,"1,495389"
DZ2,DENİZ PORTFÖY İKİNCİ SERBEST ÖZEL FON,30.04.2026,"1,38375"
DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,996492"
DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"80,655775"
DZP,AZİMUT PORTFÖY DENİZ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"56,472648"
DZS,AK PORTFÖY DOKUZUNCU SERBEST FON,30.04.2026,"1,402701"
EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"0,229481"
EBI,EMAA BLUE PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"53,002722"
EBS,EMAA BLUE PORTFÖY BİRİNCİ SERBEST (DÖVİZ-ABD DOLARI) FON,30.04.2026,"45,515167"
EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),30.04.2026,"87,110313"
ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"1,704907"
ECB,GLOBAL MD PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"47,476161"
ECV,GLOBAL MD PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,436752"
EDD,QNB PORTFÖY ENPARA DENGELİ DEĞİŞKEN ÖZEL FON,30.04.2026,"1,047765"
EDP,NEO PORTFÖY KORUNCUK EĞİTİME DESTEK PARA PİYASASI SERBEST FON,30.04.2026,"1,030656"
EDT,DENİZ PORTFÖY TED EĞİTİME DESTEK SERBEST FON,30.04.2026,"2,002821"
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK DEĞİŞKEN FON,30.04.2026,"3,289973"
EES,İSTANBUL PORTFÖY EE SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"54,941231"
EGP,GARANTİ PORTFÖY EKİM 2028 SÜRDÜRÜLEBİLİRLİK SERBEST (DÖVİZ-ABD DOLARI) FON,30.04.2026,"54,023074"
EHS,AZİMUT PORTFÖY ERCİYES HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,689416"
EIB,QİNVEST PORTFÖY DEĞİŞKEN FON,30.04.2026,"0,583853"
EID,QİNVEST PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON),30.04.2026,"1,814224"
EIL,QİNVEST PORTFÖY PARA PİYASASI FONU,30.04.2026,"4,662558"
EJG,AZİMUT PORTFÖY İNAN SERBEST (TL) ÖZEL FON,30.04.2026,"9,501223"
EKF,QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,30.04.2026,"0,125378"
EKL,KUVEYT TÜRK PORTFÖY EMLAK KATILIM BANKASI PARA PİYASASI KATILIM FONU,30.04.2026,"1,621775"
ELZ,QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"13,677394"
EME,STRATEJİ PORTFÖY EMERALD HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,182367"
EML,AK PORTFÖY EMLAK SEKTÖRÜ DEĞİŞKEN FON,30.04.2026,"1,172297"
ENA,QNB PORTFÖY ENPARA ATAK DEĞİŞKEN ÖZEL FON,30.04.2026,"1,046347"
ENJ,AKTİF PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,353696"
ENO,QNB PORTFÖY ENPARA SERBEST (DÖVİZ) FON,30.04.2026,"45,131749"
ENR,QNB PORTFÖY ENPARA PARA PİYASASI (TL) FONU,30.04.2026,"1,066816"
ENS,QNB PORTFÖY ENPARA DEĞİŞKEN ÖZEL FON,30.04.2026,"1,079555"
EPA,EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU,30.04.2026,"1,221381"
EPI,EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU,30.04.2026,"1,1391"
EPK,EMAA BLUE PORTFÖY KIYMETLİ MADENLER KATILIM FON SEPETİ FONU,30.04.2026,"1,377822"
EPO,İŞ PORTFÖY EXPLORER SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"57,544311"
EPP,EMAA BLUE PORTFÖY PARA PİYASASI SERBEST FON,30.04.2026,"1,306785"
EPT,EMAA BLUE PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"1,182714"
ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,30.04.2026,"4,090999"
ESN,ALLBATROSS PORTFÖY ESİN SERBEST FON,30.04.2026,"1,640441"
ESP,AURA PORTFÖY EMTİA SERBEST FON,30.04.2026,"0,484906"
EUN,GARANTİ PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"59,475277"
EUZ,GARANTİ PORTFÖY SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"59,138917"
EVM,DENİZ PORTFÖY ENERJİ VE MADENCİLİK SEKTÖRÜ DEĞİŞKEN FON,30.04.2026,"1,075596"
EYT,AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU,30.04.2026,"2,778387"
EZM,KUVEYT TÜRK PORTFÖY EZM KATILIM SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"42,192141"
FAK,FONMAP PORTFÖY ALTIN KATILIM FONU,30.04.2026,"1,345041"
FAL,ONE PORTFÖY ALTIN FONU,30.04.2026,"1,223547"
FBC,ONE PORTFÖY KAR PAYI ÖDEYEN KATILIM FONU,30.04.2026,"2,239586"
FBI,FİBA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"49,319808"
FBN,FİBA PORTFÖY SAFİR SERBEST FON,30.04.2026,"10,416512"
FBV,İŞ PORTFÖY MODEL SERBEST FON,30.04.2026,"7,031253"
FBZ,FİBA PORTFÖY TEKNOLOJİ SERBEST FON,30.04.2026,"4,119673"
FCK,ONE PORTFÖY ÇOKLU VARLIK KATILIM FONU,30.04.2026,"1,918184"
FCS,FİBA PORTFÖY İKİNCİ SERBEST FON,30.04.2026,"2,051344"
FD1,ONE PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"1,809403"
FDE,QNB PORTFÖY KAR PAYI ÖDEYEN BEŞİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"45,081969"
FDG,FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"2,761265"
FDO,QNB PORTFÖY SULTAN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"57,159178"
FDV,AZİMUT PORTFÖY DMR SERBEST ÖZEL FON,30.04.2026,"5,227511"
FDY,QNB PORTFÖY KAR PAYI ÖDEYEN DÖRDÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"45,216427"
FDZ,AZİMUT PORTFÖY 16.0 SERBEST FON,30.04.2026,"0,329418"
FFD,FİBA PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,30.04.2026,"0,045321"
FFF,QNB PORTFÖY BERİL SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"62,424089"
FFH,QNB PORTFÖY ÇOKLU VARLIK KATILIM FONU,30.04.2026,"7,915479"
FFO,QNB PORTFÖY SER SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"58,086522"
FFP,QNB PORTFÖY FON SEPETİ FONU,30.04.2026,"7,296923"
FHI,FONMAP PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,491015"
FHP,FİBA PORTFÖY ÖPY PARA PİYASASI SERBEST (TL) ÖZEL FON,30.04.2026,"3,008075"
FHZ,QNB PORTFÖY HUZUR SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"62,133102"
FI3,QNB PORTFÖY BORÇLANMA ARAÇLARI FONU,30.04.2026,"726,2751"
FI5,QNB PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"658,43228"
FIB,FİBA PORTFÖY ALTIN FONU,30.04.2026,"0,498479"
FID,FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON,30.04.2026,"0,999759"
FIL,FİBA PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"0,329632"
FIT,FİBA PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,212062"
FJB,FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,30.04.2026,"6,395816"
FJC,FİBA PORTFÖY MELTEM ÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"55,716066"
