Dışa Aktarım Tarihi:,03.05.2026 16:27:32
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat
AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,30.04.2026,"3,548083"
AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"50,445442"
AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,30.04.2026,"3,469541"
AL7,ALBARAKA PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,30.04.2026,"3,353522"
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,368026"
ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"11,991439"
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"98,831281"
ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI (TL)FONU,30.04.2026,"33,248044"
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"20,374712"
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,531786"
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,30.04.2026,"0,357947"
AP2,ATLAS PORTFÖY BEŞİNCİ SERBEST (TL) FON,30.04.2026,"3,453655"
AP4,ATLAS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,507061"
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,00775"
AP6,PARDUS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"8,852013"
AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,30.04.2026,"2,336055"
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,30.04.2026,"6,878993"
APP,AK PORTFÖY P1 SERBEST ÖZEL FON,30.04.2026,"31,967217"
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,30.04.2026,"0,146733"
ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,30.04.2026,"0,219572"
ARF,AK PORTFÖY ÖPY İKİNCİ SERBEST (TL) ÖZEL FON,30.04.2026,"7,861951"
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,30.04.2026,"14,94906"
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,30.04.2026,"17,669715"
ARP,AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,30.04.2026,"40,574826"
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"44,751129"
AS3,ALLBATROSS PORTFÖY ATLAS SERBEST FON,30.04.2026,"0,72745"
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,799483"
ATJ,AZİMUT PORTFÖY ÇINAR SERBEST (TL) ÖZEL FON,30.04.2026,"21,927407"
AU1,A1 CAPİTAL PORTFÖY ALTIN FONU,30.04.2026,"1,153891"
AUT,ATA PORTFÖY DENGELİ DEĞİŞKEN FON,30.04.2026,"8,910705"
AUV,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,30.04.2026,"46,222353"
AVC,ATA PORTFÖY İKİNCİ SERBEST (TL) FON,30.04.2026,"145,651266"
AVT,AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"201,219055"
AVZ,AK PORTFÖY EMS SERBEST ( DÖVİZ ) ÖZEL FON,30.04.2026,"96,352431"
AY6,AZİMUT PORTFÖY 26.0 SERBEST FON,30.04.2026,"1,298036"
AY7,AZİMUT PORTFÖY 27.0 SERBEST FON,30.04.2026,"1,485872"
AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"18,922965"
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"0,124441"
AZF,AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) ÖZEL FONU,30.04.2026,"0,164017"
AZJ,AZİMUT PYŞ STRATEJİ-1 SERBEST FON,30.04.2026,"18,139983"
AZV,AZİMUT PORTFÖY BKS SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"24,989553"
AZZ,AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"59,111284"
BA1,GLOBAL MD PORTFÖY BİRİNCİ SERBEST FON,30.04.2026,"1,404492"
BAC,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"6,478033"
BAG,BULLS PORTFÖY ATAK DEĞIŞKEN FON,30.04.2026,"0,912588"
BAL,QNB PORTFÖY BALY SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"46,524464"
BAO,AZİMUT PORTFÖY BARKIN SERBEST (TL) ÖZEL FON,30.04.2026,"3,220881"
BAS,İŞ PORTFÖY BAŞAK SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"50,169791"
BBF,PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"3,202359"
BBI,ALLBATROSS PORTFÖY BİANCO SERBEST (TL) FON,30.04.2026,"1,605263"
BBN,BULLS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,675762"
BBO,BULLS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,457031"
BBP,ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,30.04.2026,"2,040182"
BBS,BULLS PORTFÖY BİRİNCİ SERBEST (TL) FON,30.04.2026,"1,395448"
BCC,QINVEST PORTFÖY BCC SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"64,129623"
BCK,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"1,806552"
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,30.04.2026,"1,698359"
BDA,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"53,289129"
