Dışa Aktarım Tarihi:,13.05.2026 12:09:07
Toplam Kayıt Sayısı:,2001

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,13.05.2026,"3,227469",1001947752.00,4833,"3233755454,38"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,13.05.2026,"11,837668",1763275.00,173,"20873063,56"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),13.05.2026,"63,708165",4764363.00,2271,"303528822,52"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,13.05.2026,"64,732676",123077127.00,162,"7967111759,44"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),13.05.2026,"0,873761",1337341991.00,3,"1168517000,56"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,13.05.2026,"0,095218",580108894.00,37,"55237010,83"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,13.05.2026,"2,907512",101223102.00,160,"294307433,39"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,13.05.2026,"3,778732",2478717109.00,46,"9366408250,18"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,13.05.2026,"66,36552",2090562.00,14,"138741233,97"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,13.05.2026,"3,575466",434625089.00,3582,"1553987348,61"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),13.05.2026,"3,466724",14003318.00,175,"48545633,22"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,13.05.2026,"55,978379",1324488.00,107,"74142691,61"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),13.05.2026,"12,248176",540384978.00,45,"6618730104,20"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),13.05.2026,"217,746132",12669897.00,97,"2758821068,79"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),13.05.2026,"45,719539",4243471.00,1433,"194009536,71"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,13.05.2026,"5,633119",57405530.97,1544,"323372161,04"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,13.05.2026,"11,8319",54279290.00,16,"642227150,65"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,13.05.2026,"53,236291",25371625.00,152,"1350691213,08"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,13.05.2026,"0,873025",1110856619.00,26752,"969805468,50"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),13.05.2026,"1,322568",3114363461.00,22234,"4118958415,41"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,13.05.2026,"111,717253",673970.66,1526,"75294150,62"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,13.05.2026,"0,182083",9212142577.00,35716,"1677370813,53"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),13.05.2026,"2,04682",5354032.00,424,"10958737,33"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,13.05.2026,"1,157829",4846158586.00,46179,"5611021145,27"
AFO,AK PORTFÖY ALTIN FONU,13.05.2026,"1,357758",16891532024.00,86292,"22934612091,75"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,13.05.2026,"0,299138",2471926800.00,26863,"739447933,57"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,13.05.2026,"0,989661",26583722842.00,145349,"26308873910,99"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,13.05.2026,"0,536713",2205865209.00,15409,"1183917250,99"
