Dışa Aktarım Tarihi:,24.06.2026 09:29:12
Toplam Kayıt Sayısı:,2023

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,24.06.2026,"3,330702",802318082.00,4652,"2672282612,83"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,24.06.2026,"11,938376",1726864.00,173,"20615952,43"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),24.06.2026,"62,531431",3972044.00,2159,"248377594,29"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,24.06.2026,"88,999653",134189396.00,186,"11942809684,14"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),24.06.2026,"0,852014",1337341991.00,3,"1139433656,26"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,24.06.2026,"0,09908",580059894.00,36,"57472070,77"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,24.06.2026,"3,03804",100677178.00,170,"305861250,77"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,24.06.2026,"3,371485",2478714059.00,44,"8356947337,36"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,24.06.2026,"64,255926",2090562.00,14,"134330996,34"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,24.06.2026,"3,749508",426418079.00,3664,"1598857968,70"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),24.06.2026,"3,564453",6018662.00,157,"21453238,83"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,24.06.2026,"55,431041",1300783.00,98,"72103755,49"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),24.06.2026,"5,348186",735626786.00,44,"3934268984,35"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),24.06.2026,"172,709506",14058371.00,96,"2428014312,27"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),24.06.2026,"46,29212",4156442.00,1426,"192410513,11"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,24.06.2026,"5,956894",56679814.97,1499,"337635667,53"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,24.06.2026,"12,120964",51336945.00,16,"622253240,59"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,24.06.2026,"54,784748",25429909.00,156,"1393171161,58"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,24.06.2026,"0,850752",981462545.00,26126,"834981457,05"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),24.06.2026,"1,441335",3121138169.00,21676,"4498605665,76"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,24.06.2026,"109,136608",611159.28,1448,"66699850,57"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,24.06.2026,"0,00",0.00,33271,"0,00"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),24.06.2026,"2,012048",6614379.00,424,"13308445,27"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,24.06.2026,"1,172149",4279357311.00,45659,"5016043361,43"
AFO,AK PORTFÖY ALTIN FONU,24.06.2026,"0,00",0.00,83997,"0,00"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,24.06.2026,"0,304432",2455805028.00,26886,"747625896,05"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,24.06.2026,"0,944743",21330023698.00,143750,"20151388418,50"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,24.06.2026,"0,565579",2106728173.00,15112,"1191521719,82"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,24.06.2026,"9,000569",11318510.00,2434,"101873034,83"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,24.06.2026,"10,213351",21370610.00,15,"218265544,96"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),24.06.2026,"38,894362",3668368.00,2540,"142678832,34"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,24.06.2026,"66,311554",475760.00,101,"31548384,79"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,24.06.2026,"10,716527",20701994.00,575,"221853470,14"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,24.06.2026,"20,806426",5990518.00,171,"124641266,67"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,24.06.2026,"28,61128",23436880.00,12,"670559133,16"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,24.06.2026,"1,178223",58917889.00,18,"69418393,91"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),24.06.2026,"17,158176",9643754.00,4,"165469230,05"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,24.06.2026,"92,567641",4091000.00,3,"378694219,17"
AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),24.06.2026,"25,120039",2162287.00,1,"54316733,62"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,24.06.2026,"159,145728",8914753.00,3,"1418744851,69"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,24.06.2026,"0,101002",124161917421.00,15383,"12540575778,99"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),24.06.2026,"1,265534",18267365.00,87,"23117968,84"
AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,24.06.2026,"60,996659",80569748.00,1012,"4914485421,68"
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,24.06.2026,"62,281959",1894943.00,127,"118020762,26"
AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,24.06.2026,"62,000767",80823439.00,1404,"5011115246,26"
AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,24.06.2026,"59,862621",7385636.00,298,"442123530,46"
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,24.06.2026,"0,524706",362773203.00,9233,"190349107,09"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),24.06.2026,"52,166608",157232945.00,21531,"8202309337,35"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,24.06.2026,"0,509441",2052618911.00,13628,"1045688275,67"
