Dışa Aktarım Tarihi:,06.07.2026 10:01:30
Toplam Kayıt Sayısı:,2026

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,06.07.2026,"3,370896",743037582.00,4500,"2504702218,58"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,06.07.2026,"12,040398",1717870.00,163,"20683838,01"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),06.07.2026,"61,123305",2148725.00,2108,"131337172,85"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,06.07.2026,"95,23111",126866519.00,181,"12081639413,05"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),06.07.2026,"0,830099",1337341991.00,3,"1110126894,27"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,06.07.2026,"0,100251",580059894.00,36,"58151546,36"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,06.07.2026,"3,077044",104261669.00,169,"320817793,92"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,06.07.2026,"3,765377",2478714059.00,44,"9333292981,13"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,06.07.2026,"65,397657",2090562.00,14,"136717857,07"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,06.07.2026,"3,800726",460990079.00,3659,"1752097077,22"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),06.07.2026,"3,583925",5991650.00,152,"21473627,22"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,06.07.2026,"56,032805",1302479.00,92,"72981551,95"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),06.07.2026,"4,966478",702140146.00,44,"3487163576,82"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),06.07.2026,"180,193654",14058371.00,96,"2533229240,96"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),06.07.2026,"44,924741",4166823.00,1430,"187193445,25"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,06.07.2026,"5,935682",57530085.97,1537,"341480287,39"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,06.07.2026,"12,210727",51336945.00,16,"626861440,05"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,06.07.2026,"55,151995",25414972.00,151,"1401686412,87"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,06.07.2026,"0,838023",923675721.00,25942,"774061120,87"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),06.07.2026,"1,342186",3469272628.00,21659,"4656408384,23"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,06.07.2026,"109,305039",586516.28,1432,"64109184,91"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,06.07.2026,"0,00",0.00,32265,"0,00"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),06.07.2026,"2,02709",5733350.00,413,"11622016,46"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,06.07.2026,"1,202887",4239475541.00,45073,"5099610472,45"
AFO,AK PORTFÖY ALTIN FONU,06.07.2026,"1,235856",15274127856.00,83189,"18876626575,09"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,06.07.2026,"0,326158",2455018983.00,26770,"800724382,80"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,06.07.2026,"0,956754",20737777711.00,141091,"19840954292,22"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,06.07.2026,"0,586485",2085505767.00,14883,"1223118317,38"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,06.07.2026,"9,071357",11479609.00,2432,"104135626,17"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,06.07.2026,"10,32699",21370610.00,15,"220694079,53"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),06.07.2026,"37,592026",3461640.00,2533,"130130059,37"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,06.07.2026,"66,547861",467772.00,98,"31129226,03"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,06.07.2026,"10,832018",20526871.00,574,"222347430,16"
