Dışa Aktarım Tarihi:,15.06.2026 11:29:45
Toplam Kayıt Sayısı:,2017

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,15.06.2026,"3,298604",826779682.00,4688,"2727218888,35"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,15.06.2026,"11,857629",1756510.00,180,"20828044,63"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),15.06.2026,"60,818808",4032535.00,2182,"245253970,04"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,15.06.2026,"82,00489",129529537.00,178,"10622055395,85"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),15.06.2026,"0,857875",1337341991.00,3,"1147272613,00"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,15.06.2026,"0,098148",580059894.00,36,"56931621,63"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,15.06.2026,"3,009255",106223346.00,170,"319653101,97"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,15.06.2026,"3,033022",2478714059.00,44,"7517994425,16"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,15.06.2026,"63,664376",2090562.00,14,"133094325,03"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,15.06.2026,"3,711301",421059474.00,3621,"1562678459,22"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),15.06.2026,"3,526781",6024171.00,159,"21245930,97"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,15.06.2026,"54,987787",1302552.00,95,"71624452,52"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),15.06.2026,"5,110653",731367957.00,45,"3737767565,08"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),15.06.2026,"166,859415",15847488.00,97,"2644302572,92"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),15.06.2026,"45,173055",4151601.00,1416,"187540500,31"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,15.06.2026,"5,632837",56694051.97,1490,"319348377,30"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,15.06.2026,"12,062611",51336945.00,16,"619257572,27"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,15.06.2026,"54,36095",25334664.00,148,"1377216411,33"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,15.06.2026,"0,856902",1016748239.00,26274,"871253571,96"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),15.06.2026,"1,336863",3128610993.00,21703,"4182523326,25"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,15.06.2026,"105,928189",634553.28,1465,"67217079,76"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,15.06.2026,"0,169641",8455102564.00,34816,"1434332460,92"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),15.06.2026,"1,977235",5452304.00,423,"10780486,54"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,15.06.2026,"1,168801",4248052858.00,45552,"4965127175,06"
AFO,AK PORTFÖY ALTIN FONU,15.06.2026,"1,234359",15939118219.00,84383,"19674601233,96"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,15.06.2026,"0,306818",2456990763.00,26929,"753849697,85"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,15.06.2026,"0,955515",21401144993.00,144261,"20449123518,27"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,15.06.2026,"0,564643",2098060581.00,15036,"1184655280,12"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,15.06.2026,"8,941083",11108337.00,2441,"99320559,68"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,15.06.2026,"10,088022",21370610.00,15,"215587177,94"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),15.06.2026,"37,572079",3505622.00,2536,"131713507,90"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,15.06.2026,"65,984247",474910.00,100,"31336578,97"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,15.06.2026,"10,61256",21044697.00,580,"223338106,00"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,15.06.2026,"20,428349",5982125.00,167,"122204937,03"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,15.06.2026,"28,151012",23436880.00,12,"659771894,94"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,15.06.2026,"1,16456",58917889.00,18,"68613430,90"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),15.06.2026,"17,301961",9643754.00,4,"166855856,33"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,15.06.2026,"91,584554",4091000.00,3,"374672408,40"
AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),15.06.2026,"24,617997",2162287.00,1,"53231175,06"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,15.06.2026,"157,596317",8812765.00,2,"1388859303,36"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,15.06.2026,"0,100018",122652071568.00,14823,"12267416964,40"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),15.06.2026,"1,252859",17410757.00,89,"21813223,05"
AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,15.06.2026,"60,53235",82623889.00,1019,"5001418199,01"
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,15.06.2026,"61,804714",2218954.00,128,"137141816,31"
AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,15.06.2026,"61,537504",81741392.00,1412,"5030161250,43"
AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,15.06.2026,"59,470249",7445562.00,301,"442789424,62"
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,15.06.2026,"0,520294",360802125.00,9251,"187723348,84"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),15.06.2026,"51,173662",162053341.00,21685,"8292862899,55"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,15.06.2026,"0,505132",2068692160.00,13673,"1044962462,11"
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),15.06.2026,"0,91315",2329481632.00,17257,"2127165529,18"
AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,15.06.2026,"3,720922",318546011.00,12,"1185284837,34"
AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,15.06.2026,"51,775858",278282686.00,2414,"14408324817,87"
AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,15.06.2026,"3,64046",1426593054.00,12,"5193455508,37"
