Dışa Aktarım Tarihi:,11.08.2026 16:15:32
Toplam Kayıt Sayısı:,2031

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,11.08.2026,"3,45037",627139489.00,4494,"2163863429,07"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,11.08.2026,"12,683358",1367732.00,143,"17347434,75"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),11.08.2026,"60,924158",2045395.00,2026,"124613967,51"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,11.08.2026,"107,448512",131250424.00,196,"14102662793,67"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),11.08.2026,"0,744198",1337341991.00,3,"995247803,50"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,11.08.2026,"0,103827",580303972.00,37,"60251355,56"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,11.08.2026,"3,194363",103804103.00,189,"331587951,75"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,11.08.2026,"2,548975",2478712996.00,44,"6318178589,81"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,11.08.2026,"63,039878",2090562.00,14,"131788773,73"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,11.08.2026,"3,960454",592678784.00,4008,"2347277310,64"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),11.08.2026,"3,695525",5989024.00,149,"22132587,04"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,11.08.2026,"57,026973",1302456.00,87,"74275122,86"
