Dışa Aktarım Tarihi:,18.05.2026 10:27:42
Toplam Kayıt Sayısı:,2004

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,18.05.2026,"3,244452",914309622.00,4860,"2966434128,89"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,18.05.2026,"11,890969",1766612.00,176,"21006727,75"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),18.05.2026,"63,146919",4677454.00,2248,"295366807,93"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,18.05.2026,"65,959894",123635844.00,166,"8155007185,39"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),18.05.2026,"0,784649",1337341991.00,3,"1049343585,83"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,18.05.2026,"0,095695",580059894.00,36,"55508900,63"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,18.05.2026,"2,922533",60420465.00,166,"176580824,19"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,18.05.2026,"3,096833",2478716109.00,45,"7676170300,91"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,18.05.2026,"64,647212",2090562.00,14,"135149004,12"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,18.05.2026,"3,595978",422936992.00,3606,"1520872160,59"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),18.05.2026,"3,495109",9698823.00,167,"33898439,18"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,18.05.2026,"55,113987",1325526.00,105,"73055022,41"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),18.05.2026,"11,924217",540384978.00,45,"6443667529,86"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),18.05.2026,"193,092703",14776443.00,97,"2853223321,56"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),18.05.2026,"45,123597",4237606.00,1423,"191216024,61"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,18.05.2026,"5,558355",57325900.97,1531,"318637715,48"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,18.05.2026,"11,857025",54279290.00,16,"643590904,29"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,18.05.2026,"53,344628",25371625.00,149,"1353439885,70"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,18.05.2026,"0,87999",1099654661.00,26641,"967684992,59"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),18.05.2026,"1,291108",3105832152.00,22110,"4009965477,47"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,18.05.2026,"110,290389",669881.81,1522,"73881525,25"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,18.05.2026,"0,00",0.00,35457,"0,00"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),18.05.2026,"2,010048",5395841.00,419,"10845899,64"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,18.05.2026,"1,16666",4850300314.00,46191,"5658649884,22"
AFO,AK PORTFÖY ALTIN FONU,18.05.2026,"1,327284",16867909945.00,85886,"22388509162,46"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,18.05.2026,"0,30273",2475754622.00,26837,"749484636,70"
