Dışa Aktarım Tarihi:,01.07.2026 11:24:47
Toplam Kayıt Sayısı:,2025

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,01.07.2026,"3,355445",753633122.00,4537,"2528774708,26"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,01.07.2026,"12,003362",1717637.00,166,"20617418,03"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),01.07.2026,"60,387413",3921349.00,2124,"236800119,74"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,01.07.2026,"95,82346",134426316.00,189,"12881194660,46"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),01.07.2026,"0,82035",1337341991.00,3,"1097088355,95"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,01.07.2026,"0,099759",580059894.00,36,"57865958,27"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,01.07.2026,"3,060874",104924022.00,172,"321159163,89"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,01.07.2026,"3,598734",2478714059.00,44,"8920231823,98"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,01.07.2026,"65,02263",2090562.00,14,"135933840,35"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,01.07.2026,"3,780419",415152689.00,3655,"1569451134,10"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),01.07.2026,"3,568453",6002600.00,157,"21419996,19"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,01.07.2026,"55,843727",1302954.00,94,"72761807,33"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),01.07.2026,"4,63928",735626786.00,44,"3412778902,77"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),01.07.2026,"175,97405",14058371.00,96,"2473908482,48"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),01.07.2026,"45,943397",4098838.00,1431,"188314542,35"
