Dışa Aktarım Tarihi:,05.08.2026 09:43:54
Toplam Kayıt Sayısı:,2030

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,05.08.2026,"3,47244",615637649.00,4577,"2137764735,20"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,05.08.2026,"12,449434",1368358.00,144,"17035282,94"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),05.08.2026,"60,785107",2063156.00,2034,"125409158,70"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,05.08.2026,"107,092827",131094536.00,192,"14039284476,67"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"0,756459",1337341991.00,3,"1011644955,35"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,05.08.2026,"0,103189",580303972.00,37,"59880760,98"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,05.08.2026,"3,174438",102941001.00,192,"326779824,39"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,05.08.2026,"2,411254",2478713505.00,44,"5976807570,51"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,05.08.2026,"62,735262",2090562.00,14,"131151954,97"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,05.08.2026,"3,932414",506834185.00,3934,"1993082080,11"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"3,672363",6005815.00,150,"22055530,99"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,05.08.2026,"56,758219",1299068.00,87,"73732786,45"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"5,365103",676977005.00,44,"3632051458,78"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"190,644947",15136071.00,96,"2885615456,94"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),05.08.2026,"43,850253",4069104.00,1363,"178431240,01"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,05.08.2026,"5,921269",57138116.97,1505,"338330174,32"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,05.08.2026,"12,459644",51336945.00,16,"639640035,28"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,05.08.2026,"56,343216",25420973.00,159,"1432299380,65"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,05.08.2026,"0,874014",813183434.00,25648,"710733469,52"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),05.08.2026,"1,22696",3049383823.00,21501,"3741471985,24"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,05.08.2026,"109,797504",561116.28,1391,"61609166,72"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,05.08.2026,"0,00",0.00,34920,"0,00"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),05.08.2026,"2,036208",4474884.00,439,"9111793,76"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,05.08.2026,"1,259391",4228739149.00,45243,"5325636562,29"
AFO,AK PORTFÖY ALTIN FONU,05.08.2026,"1,218927",14804031784.00,81439,"18045041112,87"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,05.08.2026,"0,329746",2514717137.00,27789,"829218455,50"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,05.08.2026,"0,969915",19911458740.00,137749,"19312418846,70"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,05.08.2026,"0,605824",2180931458.00,14715,"1321259668,74"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,05.08.2026,"9,275764",12925382.00,2472,"119892792,75"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,05.08.2026,"10,692431",21370610.00,15,"228503772,94"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),05.08.2026,"36,594622",3150020.00,2604,"115273790,11"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,05.08.2026,"67,500085",425561.00,98,"28725403,68"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,05.08.2026,"11,163724",15274383.00,580,"170519000,01"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,05.08.2026,"21,012977",6016831.00,176,"126431528,61"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,05.08.2026,"30,742509",1749021.00,13,"53769293,58"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,05.08.2026,"1,228041",48934073.00,18,"60093063,82"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"16,45818",9643754.00,4,"158718643,11"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,05.08.2026,"95,087661",3942000.00,3,"374835558,61"
AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"25,865559",2162287.00,1,"55928762,11"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,05.08.2026,"163,305524",8914753.00,3,"1455828409,39"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,05.08.2026,"0,105617",129315636460.00,20481,"13657909645,01"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"1,310942",8274934.00,89,"10847958,50"
AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,05.08.2026,"62,681666",47472792.00,985,"2975673705,56"
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,05.08.2026,"63,922462",1975416.00,129,"126273453,57"
AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,05.08.2026,"63,693201",75600445.00,1336,"4815234350,00"
AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,05.08.2026,"61,224862",6903591.00,277,"422671404,29"
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,05.08.2026,"0,531722",310974105.00,9122,"165351861,79"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),05.08.2026,"50,816805",148989898.00,20463,"7571190634,88"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,05.08.2026,"0,520302",1974740215.00,13449,"1027461329,09"
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),05.08.2026,"0,919457",2503931219.00,17035,"2302256698,10"
AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,05.08.2026,"3,923273",318546011.00,12,"1249742909,60"
AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,05.08.2026,"53,459222",257298734.00,2366,"13754990213,25"
AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,05.08.2026,"3,840809",1426593054.00,12,"5479271289,41"
AL7,ALBARAKA PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,05.08.2026,"3,703058",2116146173.00,103,"7836212628,06"
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),05.08.2026,"0,355401",4373195470.00,25162,"1554238185,06"
ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,05.08.2026,"13,284304",6593668345.00,144719,"87592297827,34"
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,05.08.2026,"109,503811",11949637.25,2694,"1308530813,41"
ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI (TL)FONU,05.08.2026,"36,842936",14423577.00,3707,"531406922,08"
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,05.08.2026,"21,582136",12068803.00,163,"260470550,38"
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"1,57097",12567932.00,209,"19743849,45"
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,05.08.2026,"0,359733",3097388280.00,36611,"1114233127,11"
AP2,ATLAS PORTFÖY BEŞİNCİ SERBEST (TL) FON,05.08.2026,"2,643788",286997151.00,35,"758759628,77"
AP4,ATLAS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"0,966786",249218342.00,11,"240940793,65"
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"0,839943",1010581.00,12,"848830,57"
AP6,PARDUS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"8,239775",95325066.00,45,"785457083,82"
AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,05.08.2026,"2,625104",89352745.00,482,"234560267,77"
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,05.08.2026,"0,00",0.00,2933,"0,00"
APP,AK PORTFÖY P1 SERBEST ÖZEL FON,05.08.2026,"31,809723",6415502.00,2,"204075343,31"
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,05.08.2026,"0,158225",1683276264.00,13087,"266336456,30"
ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,05.08.2026,"0,247547",163910260.00,1839,"40575436,47"
ARF,AK PORTFÖY ÖPY İKİNCİ SERBEST (TL) ÖZEL FON,05.08.2026,"8,691073",90349894.00,1,"785237549,93"
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,05.08.2026,"0,00",0.00,7441,"0,00"
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,05.08.2026,"0,00",0.00,5164,"0,00"
ARP,AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,05.08.2026,"40,942571",75563996.00,1,"3093784307,30"
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,05.08.2026,"45,139415",152917.00,41,"6902583,88"
AS3,ALLBATROSS PORTFÖY ATLAS SERBEST FON,05.08.2026,"0,734094",225848060.00,16,"165793799,43"
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),05.08.2026,"3,840336",15923826.00,768,"61152840,31"
ATJ,AZİMUT PORTFÖY İKİNCİ DEĞİŞKEN FON,05.08.2026,"22,004308",45294433.00,9,"996672650,16"
AU1,A1 CAPİTAL PORTFÖY ALTIN FONU,05.08.2026,"1,127584",33619586.00,630,"37908897,89"
AUV,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,05.08.2026,"49,392847",13024180.00,571,"643301331,45"
AVC,ATA PORTFÖY İKİNCİ SERBEST (TL) FON,05.08.2026,"137,229476",2028702.00,12,"278397712,64"
AVT,AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,05.08.2026,"222,584709",15687276.00,19469,"3491747766,85"
AVZ,AK PORTFÖY EMS SERBEST ( DÖVİZ ) ÖZEL FON,05.08.2026,"93,423898",2302470.00,1,"215105721,62"
AY6,AZİMUT PORTFÖY 26.0 SERBEST FON,05.08.2026,"1,351568",78262194.00,11,"105776643,53"
AY7,AZİMUT PORTFÖY 27.0 SERBEST FON,05.08.2026,"1,640774",189103512.00,12,"310276175,17"
AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),05.08.2026,"18,625842",59133463.00,9881,"1101410525,01"
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,05.08.2026,"0,137729",11809415822.00,13103,"1626497657,42"
AZF,AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) ÖZEL FONU,05.08.2026,"0,182595",3325162435.00,4,"607158258,25"
AZJ,AZİMUT PYŞ STRATEJİ-1 SERBEST FON,05.08.2026,"20,61653",70598250.00,58,"1455490910,52"
AZV,AZİMUT PORTFÖY BKS SERBEST (DÖVİZ) ÖZEL FON,05.08.2026,"26,868654",167557260.00,5,"4502038043,86"
AZZ,AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST (DÖVİZ) ÖZEL FON,05.08.2026,"63,103406",396560996.00,6,"25024349392,43"
BA1,GLOBAL MD PORTFÖY BİRİNCİ SERBEST FON,05.08.2026,"1,804982",202212825.00,28,"364990518,82"
BAC,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"4,185057",854692790.00,12,"3576937745,00"
BAG,BULLS PORTFÖY ATAK DEĞIŞKEN FON,05.08.2026,"1,021212",90586464.00,182,"92507977,98"
BAI,BV PORTFÖY ALTIN KATILIM FONU,05.08.2026,"1,003608",37494845.00,44,"37630115,20"
BAL,QNB PORTFÖY BALY SERBEST (DÖVİZ) ÖZEL FON,05.08.2026,"49,407176",21974290.00,1,"1085687617,49"
BAO,AZİMUT PORTFÖY BARKIN SERBEST (TL) ÖZEL FON,05.08.2026,"3,149388",23497385.00,4,"74002374,45"
BAS,İŞ PORTFÖY BAŞAK SERBEST (DÖVİZ) ÖZEL FON,05.08.2026,"53,259936",28610784.00,1,"1523808532,76"
BBF,PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,05.08.2026,"3,544322",37830293.00,877,"134082751,65"
BBI,ALLBATROSS PORTFÖY BİANCO SERBEST (TL) FON,05.08.2026,"1,205179",679926.00,11,"819432,28"
BBN,BULLS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"0,635139",2300561650.00,13,"1461175585,11"
BBO,BULLS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),05.08.2026,"1,128747",346308033.00,11,"390894052,84"
BBP,ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,05.08.2026,"2,217301",10357195.00,624,"22965015,60"
BBS,BULLS PORTFÖY BİRİNCİ SERBEST (TL) FON,05.08.2026,"1,58323",791427043.00,801,"1253011432,87"
BCC,ASTRA PORTFÖY BCC SERBEST (DÖVİZ) ÖZEL FON,05.08.2026,"74,69993",41497053.00,3,"3099826950,39"
BCK,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON,05.08.2026,"2,006972",62916742.00,2320,"126272135,87"
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,05.08.2026,"1,787894",18229958.00,478,"32593227,06"
