Dışa Aktarım Tarihi:,06.05.2026 11:32:49
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,06.05.2026,"3,201588",883054901.00,4805,"2827178223,40"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,06.05.2026,"11,690012",1236309.00,160,"14452466,96"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),06.05.2026,"62,081652",4811430.00,2284,"298701521,58"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,06.05.2026,"61,397425",123004247.00,160,"7552143973,36"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),06.05.2026,"0,849023",1337341991.00,3,"1135434610,01"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,06.05.2026,"0,0945",580108894.00,37,"54820040,66"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,06.05.2026,"2,885873",99828381.00,160,"288092067,07"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,06.05.2026,"3,62741",2478717109.00,46,"8991322769,85"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,06.05.2026,"66,245744",2090562.00,14,"138490834,69"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,06.05.2026,"3,543527",411610820.00,3549,"1458554042,21"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),06.05.2026,"3,441425",14013815.00,177,"48227499,41"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,06.05.2026,"55,864036",1393578.00,108,"77850891,80"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),06.05.2026,"10,541389",540384978.00,45,"5696408215,82"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),06.05.2026,"194,720307",12669897.00,97,"2467086228,81"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),06.05.2026,"44,378385",4303568.00,1444,"190985397,77"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,06.05.2026,"5,511441",57412212.97,1555,"316424052,94"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,06.05.2026,"11,79058",54279265.00,14,"639983989,36"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,06.05.2026,"52,983027",25527881.00,153,"1352544420,26"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,06.05.2026,"0,86434",1139870602.00,26918,"985236271,12"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),06.05.2026,"1,277102",3122832424.00,22379,"3988174288,18"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,06.05.2026,"109,179827",703828.63,1537,"76843888,05"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,06.05.2026,"0,181887",9964157965.00,35767,"1812353274,59"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),06.05.2026,"1,957896",5246051.00,401,"10271220,39"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,06.05.2026,"1,118409",4867815181.00,46111,"5444209377,81"
AFO,AK PORTFÖY ALTIN FONU,06.05.2026,"1,310961",16998025499.00,86802,"22283740263,35"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,06.05.2026,"0,303162",2528631374.00,26819,"766584741,64"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,06.05.2026,"0,944432",27242938171.00,143592,"25729110082,80"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,06.05.2026,"0,531989",2190476067.00,15538,"1165308741,36"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,06.05.2026,"8,707009",11398658.00,2465,"99248213,34"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,06.05.2026,"9,674103",21370610.00,15,"206741484,08"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),06.05.2026,"37,264939",3887435.00,2666,"144865029,07"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,06.05.2026,"66,193372",436585.00,104,"28899033,45"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,06.05.2026,"10,223314",21084463.00,602,"215553077,89"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,06.05.2026,"19,912819",5924163.00,156,"117966787,07"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,06.05.2026,"27,189445",23436880.00,12,"637235762,72"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,06.05.2026,"1,119026",58917876.00,17,"65930622,43"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),06.05.2026,"17,670428",9643754.00,4,"170409261,79"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,06.05.2026,"89,591772",4091000.00,3,"366519941,08"
AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),06.05.2026,"24,822087",2162287.00,1,"53672476,12"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,06.05.2026,"153,53129",8757734.00,1,"1344586195,75"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,06.05.2026,"0,095882",129446339856.00,12993,"12411554107,45"
